Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,1000000,1000000,0.001,1000,1540728708781,95.972,95.972,96255,96255,96255,96255,96255,96255
5,1000000,1270,3.935,5000,1540728712715,29.894,45.7746,96255,96255,96255,29951,29951,29951
8,1000000,1147,6.969,8000,1540728715749,64.141,45.757625,96255,96255,96255,64255,64255,64255
9,1000000,1132,7.949,9000,1540728716729,43.865,45.547333333333334,96255,96255,96255,44031,44031,44031
10,1000000,1119,8.933,10000,1540728717713,27.548,43.7474,64255,96255,96255,27647,27647,27647
11,1000000,1107,9.931,11000,1540728718711,25.181,42.05954545454546,64255,96255,96255,25215,25215,25215
12,1000000,1097,10.936,12000,1540728719716,28.685,40.945,64255,96255,96255,28799,28799,28799
13,1000000,1087,11.951,13000,1540728720731,44.074,41.18569230769231,64255,96255,96255,44287,44287,44287
15,1000000,1076,13.939,15000,1540728722719,31.67,39.51113333333333,64255,96255,96255,31743,31743,31743
16,1000000,1071,14.938,16000,1540728723718,30.994,38.9788125,64255,96255,96255,31103,31103,31103
18,1000000,1062,16.936,18000,1540728725716,27.66,38.46366666666667,64255,96255,96255,27775,27775,27775
19,1000000,1059,17.935,19000,1540728726715,28.13,37.91978947368421,64255,96255,96255,28159,28159,28159
20,1000000,1050,19.045,20000,1540728727825,137.502,42.8989,64255,96255,138239,138239,138239,138239
21,1000000,1052,19.945,21000,1540728728725,37.638,42.648380952380954,64255,96255,138239,37887,37887,37887
22,1000000,1050,20.936,22000,1540728729716,28.318,41.997,64255,96255,138239,28415,28415,28415
23,1000000,1048,21.939,23000,1540728730719,32.227,41.57221739130435,64255,96255,138239,32255,32255,32255
26,1000000,1042,24.945,26000,1540728733725,37.639,40.508730769230766,64255,96255,138239,37887,37887,37887
27,1000000,1040,25.945,27000,1540728734725,36.419,40.35725925925926,64255,96255,138239,36607,36607,36607
28,1000000,1038,26.949,28000,1540728735729,40.073,40.34710714285714,64255,96255,138239,40191,40191,40191
30,1000000,1036,28.938,30000,1540728737718,30.489,40.2382,47103,96255,138239,30591,30591,30591
31,1000000,1035,29.948,31000,1540728738728,40.191,40.23667741935484,47103,96255,138239,40191,40191,40191
34,1000000,1032,32.939,34000,1540728741719,29.716,39.802,47103,96255,138239,29823,29823,29823
43,1000000,1025,41.934,43000,1540728750714,22.281,38.84051162790698,47103,73727,138239,22399,22399,22399
44,1000000,1024,42.937,44000,1540728751717,25.491,38.537113636363635,47103,73727,138239,25599,25599,25599
50,1000000,1021,48.941,50000,1540728757721,27.512,38.38418,47103,79871,138239,27519,27519,27519
59,1000000,1017,57.989,59000,1540728766769,71.09,39.12779661016949,64255,79871,138239,71167,71167,71167
64,1000000,1016,62.944,64000,1540728771724,24.136,38.0701875,55551,73727,138239,24191,24191,24191
70,1000000,1015,68.947,70000,1540728777727,26.876,37.54887142857143,47103,73727,138239,26879,26879,26879
78,1000000,1013,76.956,78000,1540728785736,32.64,37.088653846153846,55551,73727,138239,32767,32767,32767
85,1000000,1012,83.964,85000,1540728792744,39.333,36.42017647058824,47103,71167,138239,39423,39423,39423
88,1000000,1011,86.964,88000,1540728795744,36.688,36.44143181818182,48639,71167,138239,36863,36863,36863
98,1000000,1010,97.019,98000,1540728805799,86.405,36.32238775510204,48639,73727,138239,86527,86527,86527
108,1000000,1009,106.958,108000,1540728815738,22.017,36.33112037037037,48639,71167,96255,22143,22143,22143
116,1000000,1009,114.962,116000,1540728823742,24.317,35.98159482758621,48639,73727,96255,24319,24319,24319
