67436,500000,962972,70.029,67436000,1540725612697,54080.912,21325.511435464738,47448063,51118079,53215231,54263807,54263807,54263807
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
67437,1000000,962973,70.03,67437000,1540725612698,54082.227,21325.997173495263,47448063,51118079,53215231,54263807,54263807,54263807
67438,1000000,962973,70.031,67438000,1540725612699,54083.142,21326.482910688337,47448063,51118079,53215231,54263807,54263807,54263807
67441,1000000,962988,70.033,67441000,1540725612701,54085.921,21327.940117317357,47448063,51118079,53215231,54263807,54263807,54263807
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
67442,1000000,962989,70.034,67442000,1540725612702,54086.733,21328.425850137897,47448063,51118079,53215231,54263807,54263807,54263807
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
67443,1000000,962989,70.035,67443000,1540725612703,54087.638,21328.911581972927,47448063,51118079,53215231,54263807,54263807,54263807
67444,1000000,962990,70.036,67444000,1540725612704,54088.465,21329.397311665976,47448063,51118079,53215231,54263807,54263807,54263807
67445,1000000,962990,70.037,67445000,1540725612705,54089.268,21329.883038861295,47448063,51118079,53215231,54263807,54263807,54263807
67446,1000000,962991,70.038,67446000,1540725612706,54090.092,21330.368763870356,47448063,51118079,53215231,54263807,54263807,54263807
67448,1000000,963006,70.039,67448000,1540725612707,54091.998,21331.340212400664,47448063,51118079,53215231,54263807,54263807,54263807
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
67449,1000000,963006,70.04,67449000,1540725612708,54092.78,21331.82593405388,47448063,51118079,53215231,54263807,54263807,54263807
67450,1000000,963007,70.041,67450000,1540725612709,54093.58,21332.311653165307,47448063,51118079,53215231,54263807,54263807,54263807
67451,1000000,963007,70.042,67451000,1540725612710,54094.393,21332.7973699278,47448063,51118079,53215231,54263807,54263807,54263807
