66867,333333,966844,69.16,66867000,1540725611828,53210.947,21050.952426368764,46923775,50593791,52428799,53215231,53215231,53215231
66868,1000000,966845,69.161,66868000,1540725611829,53213.913,21051.43341818209,46923775,50593791,52428799,53215231,53215231,53215231
66869,1000000,966845,69.162,66869000,1540725611830,53214.762,21051.91440830579,46923775,50593791,52428799,53215231,53215231,53215231
66870,1000000,966846,69.163,66870000,1540725611831,53215.712,21052.395398250337,46923775,50593791,52428799,53477375,53477375,53477375
66871,1000000,966846,69.164,66871000,1540725611832,53216.616,21052.87638732784,46923775,50593791,52428799,53477375,53477375,53477375
66872,1000000,966847,69.165,66872000,1540725611833,53217.48,21053.357374940184,46923775,50593791,52428799,53477375,53477375,53477375
66873,1000000,966847,69.166,66873000,1540725611834,53218.353,21053.838361222017,46923775,50593791,52428799,53477375,53477375,53477375
66874,1000000,966848,69.167,66874000,1540725611835,53219.273,21054.319346876215,46923775,50593791,52428799,53477375,53477375,53477375
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
66875,1000000,966848,69.168,66875000,1540725611836,53220.142,21054.800331140188,46923775,50593791,52428799,53477375,53477375,53477375
66876,1000000,966849,69.169,66876000,1540725611837,53221.096,21055.281315285007,46923775,50593791,52428799,53477375,53477375,53477375
66877,1000000,966849,69.17,66877000,1540725611838,53222.004,21055.762298622845,46923775,50593791,52428799,53477375,53477375,53477375
66879,1000000,966864,69.171,66879000,1540725611839,53223.997,21056.724266840116,46923775,50593791,52428799,53477375,53477375,53477375
66880,1000000,966865,69.172,66880000,1540725611840,53224.868,21057.205249850478,46923775,50593791,52428799,53477375,53477375,53477375
66881,1000000,966865,69.173,66881000,1540725611841,53225.712,21057.686231097025,46923775,50593791,52428799,53477375,53477375,53477375
66882,1000000,966866,69.174,66882000,1540725611842,53226.695,21058.167212658114,46923775,50593791,52428799,53477375,53477375,53477375
66883,1000000,966866,69.175,66883000,1540725611843,53227.616,21058.648193606747,46923775,50593791,52428799,53477375,53477375,53477375
