44516,500000,1055456,42.177,44516000,1540725584845,29230.518,10731.21991439033,23330815,25559039,28835839,29360127,29360127,29360127
44517,1000000,1055455,42.178,44517000,1540725584846,29231.249,10731.635486623089,23330815,25559039,28835839,29360127,29360127,29360127
44520,1000000,1055476,42.18,44520000,1540725584848,29233.64,10732.882201212939,23330815,25559039,28835839,29360127,29360127,29360127
44521,1000000,1055475,42.181,44521000,1540725584849,29234.212,10733.297765324229,23330815,25559039,28835839,29360127,29360127,29360127
44523,1000000,1055497,42.182,44523000,1540725584850,29235.848,10734.12889198841,23330815,25559039,28835839,29360127,29360127,29360127
44524,1000000,1055496,42.183,44524000,1540725584851,29236.529,10734.544452138172,23461887,25559039,28835839,29360127,29360127,29360127
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
44525,1000000,1055494,42.184,44525000,1540725584852,29237.09,10734.960006221225,23461887,25559039,28835839,29360127,29360127,29360127
44527,1000000,1055517,42.185,44527000,1540725584853,29238.687,10735.791114694455,23461887,25559039,28835839,29360127,29360127,29360127
44528,1000000,1055516,42.186,44528000,1540725584854,29239.133,10736.20665866421,23461887,25559039,28835839,29360127,29360127,29360127
