34511,500000,1225837,28.153,34511000,1540725570821,17206.098,7277.92568908464,14483455,15728639,16908287,17301503,17301503,17301503
34512,1000000,1225829,28.154,34512000,1540725570822,17207.331,7278.213397861613,14483455,15728639,16908287,17301503,17301503,17301503
34513,1000000,1225821,28.155,34513000,1540725570823,17208.191,7278.501114884247,14483455,15728639,16908287,17301503,17301503,17301503
34516,1000000,1225840,28.157,34516000,1540725570825,17210.777,7279.364316693707,14483455,15728639,16908287,17301503,17301503,17301503
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
34517,1000000,1225832,28.158,34517000,1540725570826,17211.44,7279.65206115827,14483455,15728639,16908287,17301503,17301503,17301503
34518,1000000,1225824,28.159,34518000,1540725570827,17212.145,7279.939809374819,14483455,15728639,16908287,17301503,17301503,17301503
34520,1000000,1225852,28.16,34520000,1540725570828,17213.874,7280.515330648899,14483455,15728639,16908287,17301503,17301503,17301503
34521,1000000,1225844,28.161,34521000,1540725570829,17214.607,7280.8031001709105,14483455,15728639,16908287,17301503,17301503,17301503
34522,1000000,1225836,28.162,34522000,1540725570830,17215.268,7281.090872168472,14483455,15728639,16908287,17301503,17301503,17301503
