38021,250000,1148150,33.115,38021000,1540725575783,21168.01,8324.27056416191,17039359,18481151,19529727,21233663,21233663,21233663
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
38022,1000000,1148145,33.116,38022000,1540725575784,21169.029,8324.608388538214,17039359,18481151,19529727,21233663,21233663,21233663
38024,1000000,1148171,33.117,38024000,1540725575785,21170.957,8325.284060225122,17039359,18481151,19529727,21233663,21233663,21233663
38025,1000000,1148167,33.118,38025000,1540725575786,21171.762,8325.621903168967,17039359,18481151,19529727,21233663,21233663,21233663
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
38026,1000000,1148162,33.119,38026000,1540725575787,21172.644,8325.959751538421,17039359,18481151,19529727,21233663,21233663,21233663
38027,1000000,1148158,33.12,38027000,1540725575788,21173.545,8326.297605832699,17039359,18481151,19529727,21233663,21233663,21233663
38028,1000000,1148153,33.121,38028000,1540725575789,21174.347,8326.635463447985,17039359,18481151,19529727,21233663,21233663,21233663
38029,1000000,1148149,33.122,38029000,1540725575790,21175.153,8326.973324489205,17039359,18481151,19529727,21233663,21233663,21233663
38032,1000000,1148170,33.124,38032000,1540725575792,21177.874,8327.986943389777,17039359,18481151,19529727,21233663,21233663,21233663
