Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
85007,333333,941269,90.311,85007000,1540725632979,72362.95,30008.37274757373,63438847,68681727,71827455,72876031,72876031,72876031
85010,1000000,941271,90.314,85010000,1540725632982,72366.875,30009.86754532408,63438847,68681727,71827455,72876031,72876031,72876031
85011,1000000,941272,90.315,85011000,1540725632983,72367.853,30010.3658100834,63438847,68681727,71827455,72876031,72876031,72876031
85012,1000000,941272,90.316,85012000,1540725632984,72368.867,30010.86407504823,63438847,68681727,71827455,72876031,72876031,72876031
85013,1000000,941273,90.317,85013000,1540725632985,72369.724,30011.36233837178,63438847,68681727,71827455,72876031,72876031,72876031
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
85014,1000000,941274,90.318,85014000,1540725632986,72370.645,30011.860600806926,63438847,68681727,71827455,72876031,72876031,72876031
85015,1000000,941274,90.319,85015000,1540725632987,72371.727,30012.358864247486,63438847,68681727,71827455,72876031,72876031,72876031
85016,1000000,941275,90.32,85016000,1540725632988,72372.674,30012.857127105486,63438847,68681727,71827455,72876031,72876031,72876031
85017,1000000,941276,90.321,85017000,1540725632989,72373.607,30013.355389216274,63438847,68681727,71827455,72876031,72876031,72876031
85018,1000000,941276,90.322,85018000,1540725632990,72374.592,30013.85365119151,63438847,68681727,71827455,72876031,72876031,72876031
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
85019,1000000,941277,90.323,85019000,1540725632991,72375.63,30014.351913654595,63438847,68681727,71827455,72876031,72876031,72876031
85020,1000000,941278,90.324,85020000,1540725632992,72376.684,30014.850176793694,63438847,68681727,71827455,72876031,72876031,72876031
85021,1000000,941278,90.325,85021000,1540725632993,72377.601,30015.348438997426,63438847,68681727,71827455,72876031,72876031,72876031
85022,1000000,941279,90.326,85022000,1540725632994,72378.602,30015.846701253795,63438847,68681727,71827455,72876031,72876031,72876031
85023,1000000,941280,90.327,85023000,1540725632995,72379.525,30016.344962645402,63438847,68681727,71827455,72876031,72876031,72876031
85024,1000000,941280,90.328,85024000,1540725632996,72380.398,30016.84322258421,63438847,68681727,71827455,72876031,72876031,72876031
