80573,333333,947048,85.078,80573000,1540725627746,68127.895,27790.094796122772,60030975,63438847,67633151,68157439,68157439,68157439
80574,1000000,947049,85.079,80574000,1540725627747,68129.182,27790.59544257453,60030975,63438847,67633151,68157439,68157439,68157439
80575,1000000,947049,85.08,80575000,1540725627748,68130.196,27791.09608918399,60030975,63438847,67633151,68157439,68157439,68157439
80576,1000000,947050,85.081,80576000,1540725627749,68131.205,27791.5967358891,60030975,63438847,67633151,68157439,68157439,68157439
80577,1000000,947051,85.082,80577000,1540725627750,68132.201,27792.097382528515,60030975,63438847,67633151,68157439,68157439,68157439
80578,1000000,947051,85.083,80578000,1540725627751,68133.234,27792.598029561417,60030975,63438847,67633151,68157439,68157439,68157439
80579,1000000,947052,85.084,80579000,1540725627752,68134.225,27793.098676466572,60030975,63438847,67633151,68157439,68157439,68157439
80580,1000000,947052,85.085,80580000,1540725627753,68135.258,27793.599323765204,60030975,63438847,67633151,68157439,68157439,68157439
80581,1000000,947053,85.086,80581000,1540725627754,68136.276,27794.099971271142,60030975,63438847,67633151,68157439,68157439,68157439
80582,1000000,947054,85.087,80582000,1540725627755,68137.352,27794.600619704153,60030975,63438847,67633151,68157439,68157439,68157439
80583,1000000,947054,85.088,80583000,1540725627756,68138.391,27795.10126860504,60030975,63438847,67633151,68157439,68157439,68157439
80584,1000000,947055,85.089,80584000,1540725627757,68139.401,27795.60191761392,60030975,63438847,67633151,68157439,68157439,68157439
80585,1000000,947056,85.09,80585000,1540725627758,68140.391,27796.102566482597,60030975,63438847,67633151,68157439,68157439,68157439
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
80586,1000000,947056,85.091,80586000,1540725627759,68141.394,27796.603215372397,60030975,63438847,67633151,68157439,68157439,68157439
80587,1000000,947057,85.092,80587000,1540725627760,68142.437,27797.103864779678,60030975,63438847,67633151,68157439,68157439,68157439
80588,1000000,947057,85.093,80588000,1540725627761,68143.415,27797.60451389785,60030975,63438847,67633151,68157439,68157439,68157439
80589,1000000,947058,85.094,80589000,1540725627762,68144.379,27798.1051625532,60030975,63438847,67633151,68157439,68157439,68157439
