Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
88145,500000,935801,94.192,88145000,1540725636860,76242.934,31589.76130030064,66846719,71303167,75497471,76546047,76546047,76546047
88146,1000000,935802,94.193,88146000,1540725636861,76244.215,31590.26789678488,66846719,71303167,75497471,76546047,76546047,76546047
88147,1000000,935802,94.194,88147000,1540725636862,76245.15,31590.774492382043,66846719,71303167,75497471,76546047,76546047,76546047
88148,1000000,935803,94.195,88148000,1540725636863,76246.173,31591.281088090484,66846719,71303167,75497471,76546047,76546047,76546047
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
88149,1000000,935804,94.196,88149000,1540725636864,76247.105,31591.787682877854,66846719,71303167,75497471,76546047,76546047,76546047
88152,1000000,935816,94.198,88152000,1540725636866,76249.903,31593.307461668483,66846719,71303167,75497471,76546047,76546047,76546047
88153,1000000,935816,94.199,88153000,1540725636867,76250.813,31593.814052545007,66846719,71303167,75497471,76546047,76546047,76546047
88154,1000000,935817,94.2,88154000,1540725636868,76251.662,31594.32064155909,66846719,71303167,75497471,76546047,76546047,76546047
88155,1000000,935818,94.201,88155000,1540725636869,76252.603,31594.82722975441,66846719,71303167,75497471,76546047,76546047,76546047
88156,1000000,935818,94.202,88156000,1540725636870,76253.613,31595.3338179137,66846719,71303167,75497471,76546047,76546047,76546047
88157,1000000,935819,94.203,88157000,1540725636871,76254.654,31595.8404063886,66846719,71303167,75497471,76546047,76546047,76546047
88158,1000000,935820,94.204,88158000,1540725636872,76255.55,31596.346993534335,66846719,71303167,75497471,76546047,76546047,76546047
88159,1000000,935820,94.205,88159000,1540725636873,76256.455,31596.853579453033,66846719,71303167,75497471,76546047,76546047,76546047
88160,1000000,935821,94.206,88160000,1540725636874,76257.297,31597.360163430127,66846719,71303167,75497471,76546047,76546047,76546047
88161,1000000,935822,94.207,88161000,1540725636875,76258.159,31597.86674569254,66846719,71303167,75497471,76546047,76546047,76546047
88162,1000000,935822,94.208,88162000,1540725636876,76259.002,31598.37332602482,66846719,71303167,75497471,76546047,76546047,76546047
