54450,500000,997819,54.569,54450000,1540725597237,40621.711,15108.21542157943,35127295,36962303,40108031,40632319,40632319,40632319
54451,1000000,997819,54.57,54451000,1540725597238,40623.119,15108.684006244146,35127295,36962303,40108031,40632319,40632319,40632319
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
54453,1000000,997837,54.571,54453000,1540725597239,40624.948,15109.621173709438,35127295,36962303,40108031,40632319,40632319,40632319
54454,1000000,997837,54.572,54454000,1540725597240,40625.748,15110.089755022587,35127295,36962303,40108031,40632319,40632319,40632319
54455,1000000,997837,54.573,54455000,1540725597241,40626.44,15110.558331833625,35127295,36962303,40108031,40632319,40632319,40632319
54456,1000000,997837,54.574,54456000,1540725597242,40627.095,15111.026903463346,35127295,36962303,40108031,40632319,40632319,40632319
54458,1000000,997856,54.575,54458000,1540725597243,40628.907,15111.9640449888,35127295,36962303,40108031,40632319,40632319,40632319
54459,1000000,997856,54.576,54459000,1540725597244,40629.723,15112.432613250336,35127295,36962303,40108031,40632319,40632319,40632319
54460,1000000,997856,54.577,54460000,1540725597245,40630.518,15112.901178901946,35127295,36962303,40108031,40632319,40632319,40632319
54461,1000000,997856,54.578,54461000,1540725597246,40631.277,15113.369741282753,35127295,36962303,40108031,40632319,40632319,40632319
54462,1000000,997856,54.579,54462000,1540725597247,40632.033,15113.83830033785,35127295,36962303,40108031,40632319,40632319,40632319
54464,1000000,997874,54.58,54464000,1540725597248,40633.807,15114.775417156286,35127295,36962303,40108031,40894463,40894463,40894463
