Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
2,1000,2000,1.0,2000,1540740119458,0.0,0.6345,1271,1271,1271,0,0,0
3,977,1482,2.023,3000,1540740120481,0.0,0.423,1271,1271,1271,0,0,0
4,1023,1333,3.0,4000,1540740121458,0.0,0.31725,1271,1271,1271,0,0,0
5,999,1249,4.001,5000,1540740122459,0.0,0.2538,1271,1271,1271,0,0,0
6,1000,1199,5.001,6000,1540740123459,0.001,0.21166666666666667,1271,1271,1271,1,1,1
7,1000,1166,6.001,7000,1540740124459,0.864,0.3048571428571429,1271,1271,1271,867,867,867
8,1000,1142,7.001,8000,1540740125459,0.649,0.347875,1271,1271,1271,651,651,651
9,1001,1125,8.0,9000,1540740126458,0.405,0.3542222222222222,1271,1271,1271,405,405,405
10,1000,1110,9.001,10000,1540740127459,0.999,0.4187,999,1271,1271,999,999,999
11,999,1099,10.002,11000,1540740128460,0.001,0.38072727272727275,999,1271,1271,1,1,1
12,1001,1090,11.001,12000,1540740129459,0.096,0.357,999,1271,1271,96,96,96
13,1001,1083,12.0,13000,1540740130458,0.851,0.395,999,1271,1271,851,851,851
14,999,1076,13.002,14000,1540740131460,1.0,0.4382142857142857,1003,1271,1271,1003,1003,1003
15,1000,1071,14.002,15000,1540740132460,0.778,0.46086666666666665,1003,1271,1271,779,779,779
16,1000,1066,15.002,16000,1540740133460,0.001,0.432125,1003,1271,1271,1,1,1
17,1000,1062,16.002,17000,1540740134460,1.0,0.46552941176470586,1003,1271,1271,1003,1003,1003
18,1000,1058,17.002,18000,1540740135460,0.999,0.49516666666666664,1003,1271,1271,999,999,999
19,1001,1055,18.001,19000,1540740136459,0.0,0.46910526315789475,1003,1271,1271,0,0,0
20,998,1052,19.003,20000,1540740137461,0.093,0.4503,1003,1003,1271,93,93,93
21,1001,1049,20.002,21000,1540740138460,0.999,0.4764285714285714,1003,1003,1271,999,999,999
22,1000,1047,21.002,22000,1540740139460,0.0,0.4547727272727273,1003,1003,1271,0,0,0
23,1001,1045,22.002,23000,1540740140460,0.999,0.47843478260869565,1003,1003,1271,999,999,999
24,1001,1043,23.001,24000,1540740141459,0.0,0.4585,1003,1003,1271,0,0,0
25,1000,1041,24.002,25000,1540740142460,1.0,0.48016,1003,1003,1271,1003,1003,1003
26,994,1039,25.008,26000,1540740143466,0.596,0.4846153846153846,1003,1003,1271,599,599,599
27,1006,1038,26.002,27000,1540740144460,0.0,0.4666666666666667,1003,1003,1271,0,0,0
