Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
2,996,1990,1.005,2000,1540645205916,0.999,1.345,1695,1695,1695,999,999,999
3,1002,1497,2.003,3000,1540645206914,0.225,0.9716666666666667,1695,1695,1695,225,225,225
4,1001,1332,3.003,4000,1540645207914,0.999,0.9785,1695,1695,1695,999,999,999
5,1001,1249,4.002,5000,1540645208913,0.0,0.7828,1695,1695,1695,0,0,0
6,998,1199,5.004,6000,1540645209915,0.697,0.7685,1695,1695,1695,699,699,699
7,1002,1166,6.002,7000,1540645210913,0.0,0.6587142857142857,1695,1695,1695,0,0,0
8,1000,1142,7.002,8000,1540645211913,0.468,0.634875,1695,1695,1695,469,469,469
9,999,1124,8.004,9000,1540645212915,0.999,0.6753333333333333,1695,1695,1695,999,999,999
10,1000,1110,9.004,10000,1540645213915,0.001,0.6079,999,1695,1695,1,1,1
11,1001,1099,10.003,11000,1540645214914,0.999,0.6434545454545455,999,1695,1695,999,999,999
12,1000,1090,11.003,12000,1540645215914,0.001,0.5899166666666666,999,1695,1695,1,1,1
13,1001,1083,12.002,13000,1540645216913,0.999,0.6213846153846154,999,1695,1695,999,999,999
14,999,1076,13.003,14000,1540645217914,0.0,0.577,999,1695,1695,0,0,0
15,999,1071,14.004,15000,1540645218915,0.0,0.5385333333333333,999,1695,1695,0,0,0
16,1002,1066,15.003,16000,1540645219914,0.999,0.5673125,999,1695,1695,999,999,999
17,1000,1062,16.003,17000,1540645220914,0.001,0.534,999,1695,1695,1,1,1
18,998,1058,17.005,18000,1540645221916,0.216,0.5163333333333333,999,1695,1695,216,216,216
19,1001,1055,18.004,19000,1540645222915,0.001,0.4892105263157895,999,1695,1695,1,1,1
20,994,1052,19.011,20000,1540645223922,1.998,0.56465,999,1695,1999,1999,1999,1999
21,1006,1049,20.005,21000,1540645224916,0.001,0.5378095238095238,999,1695,1999,1,1,1
22,1001,1047,21.004,22000,1540645225915,1.0,0.5588181818181818,1003,1695,1999,1003,1003,1003
23,1001,1045,22.003,23000,1540645226914,1.0,0.578,1003,1695,1999,1003,1003,1003
24,1001,1043,23.002,24000,1540645227913,0.999,0.5955416666666666,1003,1695,1999,999,999,999
25,1000,1041,24.003,25000,1540645228914,0.999,0.61168,1003,1695,1999,999,999,999
26,1000,1039,25.004,26000,1540645229915,0.999,0.626576923076923,1003,1695,1999,999,999,999
27,1001,1038,26.003,27000,1540645230914,0.204,0.6109259259259259,1003,1695,1999,204,204,204
28,1001,1036,27.003,28000,1540645231914,0.999,0.6247857142857143,1003,1695,1999,999,999,999
29,1000,1035,28.003,29000,1540645232914,0.001,0.6032758620689656,1003,1695,1999,1,1,1
30,994,1034,29.009,30000,1540645233920,0.999,0.6164666666666667,1003,1695,1999,999,999,999
31,1005,1033,30.004,31000,1540645234915,0.0,0.5965806451612903,1003,1695,1999,0,0,0
32,999,1032,31.005,32000,1540645235916,0.113,0.58146875,1003,1695,1999,113,113,113
33,1001,1031,32.004,33000,1540645236915,0.864,0.590030303030303,1003,1695,1999,867,867,867
34,1000,1030,33.004,34000,1540645237915,0.0,0.5726764705882353,1003,1695,1999,0,0,0
35,999,1029,34.005,35000,1540645238916,0.0,0.5563142857142858,1003,1695,1999,0,0,0
36,997,1028,35.008,36000,1540645239919,0.0,0.5408611111111111,1003,1695,1999,0,0,0
37,1001,1027,36.007,37000,1540645240918,0.0,0.5262432432432432,1003,1695,1999,0,0,0
38,1001,1026,37.007,38000,1540645241918,0.999,0.5386842105263158,1003,1695,1999,999,999,999
39,999,1026,38.008,39000,1540645242919,0.0,0.5248717948717949,1003,1695,1999,0,0,0
40,1000,1025,39.008,40000,1540645243919,0.421,0.522275,999,1003,1999,421,421,421
41,1001,1024,40.008,41000,1540645244919,0.999,0.5339024390243903,999,1003,1999,999,999,999
42,1000,1024,41.009,42000,1540645245920,1.0,0.545,1003,1003,1999,1003,1003,1003
43,1000,1023,42.009,43000,1540645246920,0.322,0.5398139534883721,1003,1003,1999,323,323,323
44,1000,1023,43.009,44000,1540645247920,0.0,0.5275454545454545,1003,1003,1999,0,0,0
45,1000,1022,44.009,45000,1540645248920,0.0,0.5158222222222222,1003,1003,1999,0,0,0
46,1001,1022,45.009,46000,1540645249920,0.999,0.5263260869565217,1003,1003,1999,999,999,999
47,1000,1021,46.009,47000,1540645250920,0.668,0.5293404255319148,1003,1003,1999,671,671,671
48,1001,1021,47.008,48000,1540645251919,0.001,0.5183333333333333,1003,1003,1999,1,1,1
49,997,1020,48.012,49000,1540645252923,3.393,0.577,1003,1695,3407,3407,3407,3407
50,1004,1020,49.008,50000,1540645253919,0.655,0.57856,1003,1695,3407,655,655,655
51,999,1019,50.009,51000,1540645254920,0.0,0.5672156862745098,1003,1695,3407,0,0,0
52,1000,1019,51.009,52000,1540645255920,0.001,0.5563269230769231,1003,1695,3407,1,1,1
53,1000,1019,52.009,53000,1540645256920,1.0,0.5646981132075471,1003,1695,3407,1003,1003,1003
54,998,1018,53.011,54000,1540645257922,1.0,0.5727592592592593,1003,1695,3407,1003,1003,1003
55,997,1018,54.014,55000,1540645258925,0.087,0.5639272727272727,1003,1695,3407,87,87,87
56,1000,1017,55.014,56000,1540645259925,1.0,0.5717142857142857,1003,1695,3407,1003,1003,1003
57,1002,1017,56.012,57000,1540645260923,1.504,0.5880701754385965,1003,1695,3407,1511,1511,1511
58,1002,1017,57.01,58000,1540645261921,0.0,0.5779310344827586,1003,1695,3407,0,0,0
59,1002,1017,58.009,59000,1540645262920,0.999,0.5850677966101695,1003,1695,3407,999,999,999
60,996,1016,59.013,60000,1540645263924,0.001,0.5753333333333334,1003,1511,3407,1,1,1
61,1003,1016,60.01,61000,1540645264921,1.0,0.5822950819672131,1003,1511,3407,1003,1003,1003
62,995,1016,61.015,62000,1540645265926,0.829,0.5862741935483871,1003,1511,3407,831,831,831
63,1004,1015,62.012,63000,1540645266923,1.0,0.5928412698412698,1003,1511,3407,1003,1003,1003
64,1000,1015,63.012,64000,1540645267923,1.0,0.599203125,1003,1511,3407,1003,1003,1003
65,999,1015,64.013,65000,1540645268924,0.628,0.5996461538461538,1003,1511,3407,631,631,631
66,1001,1015,65.012,66000,1540645269923,0.0,0.590560606060606,1003,1511,3407,0,0,0
67,999,1014,66.013,67000,1540645270924,0.0,0.5817462686567164,1003,1511,3407,0,0,0
68,1000,1014,67.013,68000,1540645271924,0.0,0.5731911764705883,1003,1511,3407,0,0,0
69,1001,1014,68.012,69000,1540645272923,0.0,0.5648840579710145,1003,1511,3407,0,0,0
70,999,1014,69.013,70000,1540645273924,0.001,0.5568285714285715,1003,1511,3407,1,1,1
71,996,1014,70.017,71000,1540645274928,0.74,0.5594084507042254,1003,1511,3407,743,743,743
72,1005,1013,71.013,72000,1540645275924,0.999,0.5655138888888889,1003,1511,3407,999,999,999
73,999,1013,72.014,73000,1540645276925,0.0,0.5577671232876712,1003,1511,3407,0,0,0
74,1000,1013,73.014,74000,1540645277925,0.0,0.5502297297297297,1003,1511,3407,0,0,0
75,1000,1013,74.014,75000,1540645278925,0.0,0.5428933333333333,1003,1511,3407,0,0,0
76,997,1013,75.017,76000,1540645279928,0.365,0.5405526315789474,1003,1511,3407,365,365,365
77,1003,1012,76.015,77000,1540645280926,1.0,0.5465194805194805,1003,1511,3407,1003,1003,1003
78,1002,1012,77.013,78000,1540645281924,0.999,0.5523205128205129,1003,1511,3407,999,999,999
79,998,1012,78.015,79000,1540645282926,0.8,0.5554556962025317,1003,1511,3407,803,803,803
80,999,1012,79.016,80000,1540645283927,0.001,0.548525,1003,1003,3407,1,1,1
81,997,1012,80.019,81000,1540645284930,0.999,0.5540864197530864,1003,1003,3407,999,999,999
82,1003,1012,81.017,82000,1540645285928,0.999,0.5595121951219513,1003,1003,3407,999,999,999
83,1002,1011,82.016,83000,1540645286927,0.999,0.5648072289156626,1003,1003,3407,999,999,999
84,1001,1011,83.015,84000,1540645287926,0.0,0.5580833333333334,1003,1003,3407,0,0,0
85,999,1011,84.016,85000,1540645288927,0.001,0.5515294117647059,1003,1003,3407,1,1,1
86,1000,1011,85.016,86000,1540645289927,1.0,0.5567441860465117,1003,1003,3407,1003,1003,1003
87,1001,1011,86.015,87000,1540645290926,0.047,0.5508850574712644,1003,1003,3407,47,47,47
88,1000,1011,87.015,88000,1540645291926,0.0,0.544625,1003,1003,3407,0,0,0
89,998,1011,88.017,89000,1540645292928,0.524,0.5443932584269663,1003,1003,3407,527,527,527
90,1001,1011,89.016,90000,1540645293927,0.999,0.5494444444444444,1003,1003,3407,999,999,999
91,1000,1010,90.016,91000,1540645294927,0.0,0.5434065934065934,1003,1003,3407,0,0,0
92,994,1010,91.022,92000,1540645295933,0.0,0.5375,1003,1003,3407,0,0,0
93,1002,1010,92.021,93000,1540645296932,1.0,0.5424731182795699,1003,1003,3407,1003,1003,1003
94,1003,1010,93.018,94000,1540645297929,1.0,0.5473404255319149,1003,1003,3407,1003,1003,1003
95,997,1010,94.021,95000,1540645298932,0.999,0.5520947368421053,1003,1003,3407,999,999,999
96,1001,1010,95.021,96000,1540645299932,0.999,0.55675,1003,1003,3407,999,999,999
97,999,1010,96.022,97000,1540645300933,0.001,0.551020618556701,1003,1003,3407,1,1,1
98,1001,1010,97.021,98000,1540645301932,1.0,0.5556020408163266,1003,1003,3407,1003,1003,1003
