Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
4,1000000,1353,2.955,4000,1540644606819,3.674,2.2805,3679,3679,3679,3679,3679,3679
6,1000000,1208,4.964,6000,1540644608828,1.012,1.8811666666666667,3679,3679,3679,1015,1015,1015
8,1000000,1132,7.065,8000,1540644610929,1.685,1.755125,3679,3679,3679,1687,1687,1687
9,1000000,1131,7.957,9000,1540644611821,1.052,1.677,3679,3679,3679,1055,1055,1055
10,1000000,1116,8.955,10000,1540644612819,1.169,1.6262,3263,3679,3679,1175,1175,1175
11,1000000,1100,9.991,11000,1540644613855,1.221,1.5893636363636363,3263,3679,3679,1223,1223,1223
14,1000000,1080,12.955,14000,1540644616819,1.211,1.4854285714285713,3263,3679,3679,1215,1215,1215
15,1000000,1074,13.961,15000,1540644617825,0.962,1.4505333333333332,3263,3679,3679,963,963,963
19,1000000,1047,18.133,19000,1540644621997,0.919,1.3514210526315789,3263,3679,3679,919,919,919
20,1000000,1054,18.962,20000,1540644622826,0.682,1.31795,1687,3263,3679,683,683,683
21,1000000,1051,19.963,21000,1540644623827,0.246,1.266904761904762,1687,3263,3679,246,246,246
22,1000000,1049,20.97,22000,1540644624834,1.027,1.256,1687,3263,3679,1031,1031,1031
23,1000000,1047,21.961,23000,1540644625825,0.687,1.2312608695652174,1687,3263,3679,687,687,687
26,1000000,1041,24.959,26000,1540644628823,3.338,1.3714230769230769,3263,3343,3679,3343,3343,3343
27,1000000,1040,25.96,27000,1540644629824,0.937,1.3553333333333333,3263,3343,3679,939,939,939
30,1000000,1035,28.965,30000,1540644632829,0.797,1.3767666666666667,3007,3343,3679,799,799,799
32,1000000,1033,30.956,32000,1540644634820,0.143,1.3264375,3007,3343,3679,143,143,143
34,1000000,1031,32.967,34000,1540644636831,0.577,1.2653823529411765,3007,3343,3679,579,579,579
35,1000000,1030,33.952,35000,1540644637816,0.446,1.2419714285714285,3007,3343,3679,447,447,447
36,1000000,1029,34.952,36000,1540644638816,0.766,1.22875,3007,3343,3679,767,767,767
40,1000000,1026,38.964,40000,1540644642828,0.868,1.15905,2927,3263,3679,871,871,871
44,1000000,1024,42.952,44000,1540644646816,0.459,1.109590909090909,2927,3263,3679,459,459,459
45,1000000,1023,43.956,45000,1540644647820,0.732,1.1012,2927,3263,3679,735,735,735
46,1000000,1023,44.953,46000,1540644648817,0.788,1.0943913043478262,2927,3263,3679,791,791,791
47,1000000,1022,45.952,47000,1540644649816,0.564,1.0831063829787233,2927,3263,3679,567,567,567
54,1000000,1019,52.953,54000,1540644656817,0.68,1.0529629629629629,1687,3263,3679,683,683,683
55,1000000,1019,53.954,55000,1540644657818,0.27,1.0387272727272727,1687,3263,3679,271,271,271
